OrderDate,OrderID,ProductID,CustomerID,SalesID,ShippedDate,ShipperName,UnitPrice,Quantity,Freight
22-Jul-1996,10262,PRD005,CST065,SLS008,25-Jul-1996,Federal Shipping,17.00,12,48.29
23-Jul-1996,10263,PRD024,CST020,SLS009,31-Jul-1996,Federal Shipping,3.60,28,146.06
23-Jul-1996,10263,PRD016,CST020,SLS009,31-Jul-1996,Federal Shipping,13.90,60,146.06
23-Jul-1996,10263,PRD030,CST020,SLS009,31-Jul-1996,Federal Shipping,20.70,60,146.06
23-Jul-1996,10263,PRD074,CST020,SLS009,31-Jul-1996,Federal Shipping,8.00,36,146.06
24-Jul-1996,10264,PRD002,CST024,SLS006,23-Aug-1996,Federal Shipping,15.20,35,3.67
24-Jul-1996,10264,PRD041,CST024,SLS006,23-Aug-1996,Federal Shipping,7.70,25,3.67
25-Jul-1996,10265,PRD017,CST007,SLS002,12-Aug-1996,Speedy Express,31.20,30,55.28
25-Jul-1996,10265,PRD070,CST007,SLS002,12-Aug-1996,Speedy Express,12.00,20,55.28
26-Jul-1996,10266,PRD012,CST087,SLS003,31-Jul-1996,Federal Shipping,30.40,12,25.73
29-Jul-1996,10267,PRD040,CST025,SLS004,6-Aug-1996,Speedy Express,14.70,50,208.58
29-Jul-1996,10267,PRD059,CST025,SLS004,6-Aug-1996,Speedy Express,44.00,70,208.58
29-Jul-1996,10267,PRD076,CST025,SLS004,6-Aug-1996,Speedy Express,14.40,15,208.58
30-Jul-1996,10268,PRD029,CST033,SLS008,2-Aug-1996,Federal Shipping,99.00,10,66.29
30-Jul-1996,10268,PRD072,CST033,SLS008,2-Aug-1996,Federal Shipping,27.80,4,66.29
31-Jul-1996,10269,PRD033,CST089,SLS005,9-Aug-1996,Speedy Express,2.00,60,4.56
31-Jul-1996,10269,PRD072,CST089,SLS005,9-Aug-1996,Speedy Express,27.80,20,4.56
1-Aug-1996,10270,PRD036,CST087,SLS001,2-Aug-1996,Speedy Express,15.20,30,136.54
1-Aug-1996,10270,PRD043,CST087,SLS001,2-Aug-1996,Speedy Express,36.80,25,136.54
1-Aug-1996,10271,PRD033,CST075,SLS006,30-Aug-1996,United Package,2.00,24,4.54
2-Aug-1996,10272,PRD020,CST065,SLS006,6-Aug-1996,United Package,64.80,6,98.03
2-Aug-1996,10272,PRD031,CST065,SLS006,6-Aug-1996,United Package,10.00,40,98.03
2-Aug-1996,10272,PRD072,CST065,SLS006,6-Aug-1996,United Package,27.80,24,98.03
5-Aug-1996,10273,PRD033,CST063,SLS003,12-Aug-1996,Federal Shipping,2.00,20,76.07
5-Aug-1996,10273,PRD010,CST063,SLS003,12-Aug-1996,Federal Shipping,24.80,24,76.07
5-Aug-1996,10273,PRD031,CST063,SLS003,12-Aug-1996,Federal Shipping,10.00,15,76.07
5-Aug-1996,10273,PRD040,CST063,SLS003,12-Aug-1996,Federal Shipping,14.70,60,76.07
5-Aug-1996,10273,PRD076,CST063,SLS003,12-Aug-1996,Federal Shipping,14.40,33,76.07
6-Aug-1996,10274,PRD071,CST085,SLS006,16-Aug-1996,Speedy Express,17.20,20,6.01
6-Aug-1996,10274,PRD072,CST085,SLS006,16-Aug-1996,Speedy Express,27.80,7,6.01
7-Aug-1996,10275,PRD024,CST049,SLS001,9-Aug-1996,Speedy Express,3.60,12,26.93
7-Aug-1996,10275,PRD059,CST049,SLS001,9-Aug-1996,Speedy Express,44.00,6,26.93
8-Aug-1996,10276,PRD010,CST080,SLS008,14-Aug-1996,Federal Shipping,24.80,15,13.84
8-Aug-1996,10276,PRD013,CST080,SLS008,14-Aug-1996,Federal Shipping,4.80,10,13.84
9-Aug-1996,10277,PRD028,CST052,SLS002,13-Aug-1996,Federal Shipping,36.40,20,125.77
9-Aug-1996,10277,PRD062,CST052,SLS002,13-Aug-1996,Federal Shipping,39.40,12,125.77
12-Aug-1996,10278,PRD044,CST005,SLS008,16-Aug-1996,United Package,15.50,16,92.69
12-Aug-1996,10278,PRD059,CST005,SLS008,16-Aug-1996,United Package,44.00,15,92.69
12-Aug-1996,10278,PRD063,CST005,SLS008,16-Aug-1996,United Package,35.10,8,92.69
12-Aug-1996,10278,PRD073,CST005,SLS008,16-Aug-1996,United Package,12.00,25,92.69
13-Aug-1996,10279,PRD017,CST044,SLS008,16-Aug-1996,United Package,31.20,15,25.83
14-Aug-1996,10280,PRD024,CST005,SLS002,12-Sep-1996,Speedy Express,3.60,12,8.98
14-Aug-1996,10280,PRD055,CST005,SLS002,12-Sep-1996,Speedy Express,19.20,20,8.98
14-Aug-1996,10280,PRD075,CST005,SLS002,12-Sep-1996,Speedy Express,6.20,30,8.98
14-Aug-1996,10281,PRD019,CST069,SLS004,21-Aug-1996,Speedy Express,7.30,1,2.94
14-Aug-1996,10281,PRD024,CST069,SLS004,21-Aug-1996,Speedy Express,3.60,6,2.94
14-Aug-1996,10281,PRD035,CST069,SLS004,21-Aug-1996,Speedy Express,14.40,4,2.94
15-Aug-1996,10282,PRD030,CST069,SLS004,21-Aug-1996,Speedy Express,20.70,6,12.69
15-Aug-1996,10282,PRD057,CST069,SLS004,21-Aug-1996,Speedy Express,15.60,2,12.69
16-Aug-1996,10283,PRD015,CST046,SLS003,23-Aug-1996,Federal Shipping,12.40,20,84.81
16-Aug-1996,10283,PRD019,CST046,SLS003,23-Aug-1996,Federal Shipping,7.30,18,84.81
16-Aug-1996,10283,PRD060,CST046,SLS003,23-Aug-1996,Federal Shipping,27.20,35,84.81
16-Aug-1996,10283,PRD072,CST046,SLS003,23-Aug-1996,Federal Shipping,27.80,3,84.81
19-Aug-1996,10284,PRD044,CST044,SLS004,27-Aug-1996,Speedy Express,15.50,21,76.56
19-Aug-1996,10284,PRD027,CST044,SLS004,27-Aug-1996,Speedy Express,35.10,15,76.56
19-Aug-1996,10284,PRD060,CST044,SLS004,27-Aug-1996,Speedy Express,27.20,20,76.56
19-Aug-1996,10284,PRD067,CST044,SLS004,27-Aug-1996,Speedy Express,11.20,5,76.56
20-Aug-1996,10285,PRD001,CST063,SLS001,26-Aug-1996,United Package,14.40,45,76.83
20-Aug-1996,10285,PRD040,CST063,SLS001,26-Aug-1996,United Package,14.70,40,76.83
20-Aug-1996,10285,PRD053,CST063,SLS001,26-Aug-1996,United Package,26.20,36,76.83
21-Aug-1996,10286,PRD035,CST063,SLS008,30-Aug-1996,Federal Shipping,14.40,100,229.24
21-Aug-1996,10286,PRD062,CST063,SLS008,30-Aug-1996,Federal Shipping,39.40,40,229.24
22-Aug-1996,10287,PRD034,CST067,SLS008,28-Aug-1996,Federal Shipping,11.20,20,12.76
22-Aug-1996,10287,PRD016,CST067,SLS008,28-Aug-1996,Federal Shipping,13.90,40,12.76
22-Aug-1996,10287,PRD046,CST067,SLS008,28-Aug-1996,Federal Shipping,9.60,15,12.76
23-Aug-1996,10288,PRD054,CST066,SLS004,3-Sep-1996,Speedy Express,5.90,10,7.45
23-Aug-1996,10288,PRD068,CST066,SLS004,3-Sep-1996,Speedy Express,10.00,3,7.45
26-Aug-1996,10289,PRD003,CST011,SLS007,28-Aug-1996,Federal Shipping,8.00,30,22.77
26-Aug-1996,10289,PRD064,CST011,SLS007,28-Aug-1996,Federal Shipping,26.60,9,22.77
27-Aug-1996,10290,PRD005,CST015,SLS008,3-Sep-1996,Speedy Express,17.00,20,79.70
27-Aug-1996,10290,PRD029,CST015,SLS008,3-Sep-1996,Speedy Express,99.00,15,79.70
27-Aug-1996,10290,PRD049,CST015,SLS008,3-Sep-1996,Speedy Express,16.00,15,79.70
27-Aug-1996,10290,PRD077,CST015,SLS008,3-Sep-1996,Speedy Express,10.40,10,79.70
27-Aug-1996,10291,PRD013,CST061,SLS006,4-Sep-1996,United Package,4.80,20,6.40
27-Aug-1996,10291,PRD044,CST061,SLS006,4-Sep-1996,United Package,15.50,24,6.40
27-Aug-1996,10291,PRD051,CST061,SLS006,4-Sep-1996,United Package,42.40,2,6.40
28-Aug-1996,10292,PRD020,CST081,SLS001,2-Sep-1996,United Package,64.80,20,1.35
29-Aug-1996,10293,PRD018,CST080,SLS001,11-Sep-1996,Federal Shipping,50.00,12,21.18
29-Aug-1996,10293,PRD024,CST080,SLS001,11-Sep-1996,Federal Shipping,3.60,10,21.18
29-Aug-1996,10293,PRD063,CST080,SLS001,11-Sep-1996,Federal Shipping,35.10,5,21.18
29-Aug-1996,10293,PRD075,CST080,SLS001,11-Sep-1996,Federal Shipping,6.20,6,21.18
30-Aug-1996,10294,PRD001,CST065,SLS004,5-Sep-1996,United Package,14.40,18,147.26
30-Aug-1996,10294,PRD017,CST065,SLS004,5-Sep-1996,United Package,31.20,15,147.26
30-Aug-1996,10294,PRD043,CST065,SLS004,5-Sep-1996,United Package,36.80,15,147.26
30-Aug-1996,10294,PRD060,CST065,SLS004,5-Sep-1996,United Package,27.20,21,147.26
30-Aug-1996,10294,PRD075,CST065,SLS004,5-Sep-1996,United Package,6.20,6,147.26
2-Sep-1996,10295,PRD056,CST085,SLS002,10-Sep-1996,United Package,30.40,4,1.15
3-Sep-1996,10296,PRD011,CST046,SLS006,11-Sep-1996,Speedy Express,16.80,12,0.12
3-Sep-1996,10296,PRD016,CST046,SLS006,11-Sep-1996,Speedy Express,13.90,30,0.12
3-Sep-1996,10296,PRD069,CST046,SLS006,11-Sep-1996,Speedy Express,28.80,15,0.12
4-Sep-1996,10297,PRD039,CST007,SLS005,10-Sep-1996,United Package,14.40,60,5.74
4-Sep-1996,10297,PRD072,CST007,SLS005,10-Sep-1996,United Package,27.80,20,5.74
5-Sep-1996,10298,PRD002,CST037,SLS006,11-Sep-1996,United Package,15.20,40,168.22
5-Sep-1996,10298,PRD062,CST037,SLS006,11-Sep-1996,United Package,39.40,15,168.22
5-Sep-1996,10298,PRD036,CST037,SLS006,11-Sep-1996,United Package,15.20,40,168.22
5-Sep-1996,10298,PRD059,CST037,SLS006,11-Sep-1996,United Package,44.00,30,168.22
6-Sep-1996,10299,PRD019,CST067,SLS004,13-Sep-1996,United Package,7.30,15,29.76
6-Sep-1996,10299,PRD070,CST067,SLS004,13-Sep-1996,United Package,12.00,20,29.76
9-Sep-1996,10300,PRD066,CST049,SLS002,18-Sep-1996,United Package,13.60,30,17.68
9-Sep-1996,10300,PRD068,CST049,SLS002,18-Sep-1996,United Package,10.00,20,17.68
9-Sep-1996,10301,PRD040,CST086,SLS008,17-Sep-1996,United Package,14.70,10,45.08
9-Sep-1996,10301,PRD056,CST086,SLS008,17-Sep-1996,United Package,30.40,20,45.08
10-Sep-1996,10302,PRD017,CST076,SLS004,9-Oct-1996,United Package,31.20,40,6.27
10-Sep-1996,10302,PRD028,CST076,SLS004,9-Oct-1996,United Package,36.40,28,6.27
10-Sep-1996,10302,PRD043,CST076,SLS004,9-Oct-1996,United Package,36.80,12,6.27
11-Sep-1996,10303,PRD040,CST030,SLS007,18-Sep-1996,United Package,14.70,40,107.83
11-Sep-1996,10303,PRD065,CST030,SLS007,18-Sep-1996,United Package,16.80,30,107.83
11-Sep-1996,10303,PRD068,CST030,SLS007,18-Sep-1996,United Package,10.00,15,107.83
12-Sep-1996,10304,PRD049,CST080,SLS001,17-Sep-1996,United Package,16.00,30,63.79
12-Sep-1996,10304,PRD059,CST080,SLS001,17-Sep-1996,United Package,44.00,10,63.79
12-Sep-1996,10304,PRD071,CST080,SLS001,17-Sep-1996,United Package,17.20,2,63.79
13-Sep-1996,10305,PRD018,CST055,SLS008,9-Oct-1996,Federal Shipping,50.00,25,257.62
13-Sep-1996,10305,PRD029,CST055,SLS008,9-Oct-1996,Federal Shipping,99.00,25,257.62
13-Sep-1996,10305,PRD039,CST055,SLS008,9-Oct-1996,Federal Shipping,14.40,30,257.62
16-Sep-1996,10306,PRD030,CST069,SLS001,23-Sep-1996,Federal Shipping,20.70,10,7.56
16-Sep-1996,10306,PRD053,CST069,SLS001,23-Sep-1996,Federal Shipping,26.20,10,7.56
16-Sep-1996,10306,PRD054,CST069,SLS001,23-Sep-1996,Federal Shipping,5.90,5,7.56
17-Sep-1996,10307,PRD062,CST048,SLS002,25-Sep-1996,United Package,39.40,10,0.56
17-Sep-1996,10307,PRD068,CST048,SLS002,25-Sep-1996,United Package,10.00,3,0.56
18-Sep-1996,10308,PRD069,CST002,SLS007,24-Sep-1996,Federal Shipping,28.80,1,1.61
18-Sep-1996,10308,PRD070,CST002,SLS007,24-Sep-1996,Federal Shipping,12.00,5,1.61
19-Sep-1996,10309,PRD004,CST037,SLS003,23-Oct-1996,Speedy Express,17.60,20,47.30
19-Sep-1996,10309,PRD006,CST037,SLS003,23-Oct-1996,Speedy Express,20.00,30,47.30
19-Sep-1996,10309,PRD042,CST037,SLS003,23-Oct-1996,Speedy Express,11.20,2,47.30
19-Sep-1996,10309,PRD043,CST037,SLS003,23-Oct-1996,Speedy Express,36.80,20,47.30
19-Sep-1996,10309,PRD071,CST037,SLS003,23-Oct-1996,Speedy Express,17.20,3,47.30
20-Sep-1996,10310,PRD016,CST077,SLS008,27-Sep-1996,United Package,13.90,10,17.52
20-Sep-1996,10310,PRD062,CST077,SLS008,27-Sep-1996,United Package,39.40,5,17.52
20-Sep-1996,10311,PRD042,CST018,SLS001,26-Sep-1996,Federal Shipping,11.20,6,24.69
20-Sep-1996,10311,PRD069,CST018,SLS001,26-Sep-1996,Federal Shipping,28.80,7,24.69
23-Sep-1996,10312,PRD028,CST086,SLS002,3-Oct-1996,United Package,36.40,4,40.26
23-Sep-1996,10312,PRD043,CST086,SLS002,3-Oct-1996,United Package,36.80,24,40.26
23-Sep-1996,10312,PRD053,CST086,SLS002,3-Oct-1996,United Package,26.20,20,40.26
23-Sep-1996,10312,PRD075,CST086,SLS002,3-Oct-1996,United Package,6.20,10,40.26
24-Sep-1996,10313,PRD036,CST063,SLS002,4-Oct-1996,United Package,15.20,12,1.96
25-Sep-1996,10314,PRD032,CST065,SLS001,4-Oct-1996,United Package,25.60,40,74.16
25-Sep-1996,10314,PRD058,CST065,SLS001,4-Oct-1996,United Package,10.60,30,74.16
25-Sep-1996,10314,PRD062,CST065,SLS001,4-Oct-1996,United Package,39.40,25,74.16
26-Sep-1996,10315,PRD034,CST038,SLS004,3-Oct-1996,United Package,11.20,14,41.76
26-Sep-1996,10315,PRD070,CST038,SLS004,3-Oct-1996,United Package,12.00,30,41.76
27-Sep-1996,10316,PRD041,CST065,SLS001,8-Oct-1996,Federal Shipping,7.70,10,150.15
27-Sep-1996,10316,PRD062,CST065,SLS001,8-Oct-1996,Federal Shipping,39.40,70,150.15
30-Sep-1996,10317,PRD001,CST048,SLS006,10-Oct-1996,Speedy Express,14.40,20,12.69
1-Oct-1996,10318,PRD041,CST038,SLS008,4-Oct-1996,United Package,7.70,20,4.73
1-Oct-1996,10318,PRD076,CST038,SLS008,4-Oct-1996,United Package,14.40,6,4.73
2-Oct-1996,10319,PRD017,CST080,SLS007,11-Oct-1996,Federal Shipping,31.20,8,64.50
2-Oct-1996,10319,PRD028,CST080,SLS007,11-Oct-1996,Federal Shipping,36.40,14,64.50
2-Oct-1996,10319,PRD076,CST080,SLS007,11-Oct-1996,Federal Shipping,14.40,30,64.50
3-Oct-1996,10320,PRD071,CST087,SLS005,18-Oct-1996,Federal Shipping,17.20,30,34.57
3-Oct-1996,10321,PRD035,CST038,SLS003,11-Oct-1996,United Package,14.40,10,3.43
4-Oct-1996,10322,PRD052,CST058,SLS007,23-Oct-1996,Federal Shipping,5.60,20,0.40
7-Oct-1996,10323,PRD015,CST039,SLS004,14-Oct-1996,Speedy Express,12.40,5,4.88
7-Oct-1996,10323,PRD025,CST039,SLS004,14-Oct-1996,Speedy Express,11.20,4,4.88
7-Oct-1996,10323,PRD039,CST039,SLS004,14-Oct-1996,Speedy Express,14.40,4,4.88
8-Oct-1996,10324,PRD046,CST071,SLS009,10-Oct-1996,Speedy Express,9.60,30,214.27
8-Oct-1996,10324,PRD016,CST071,SLS009,10-Oct-1996,Speedy Express,13.90,21,214.27
8-Oct-1996,10324,PRD035,CST071,SLS009,10-Oct-1996,Speedy Express,14.40,70,214.27
8-Oct-1996,10324,PRD059,CST071,SLS009,10-Oct-1996,Speedy Express,44.00,40,214.27
8-Oct-1996,10324,PRD063,CST071,SLS009,10-Oct-1996,Speedy Express,35.10,80,214.27
9-Oct-1996,10325,PRD006,CST039,SLS001,14-Oct-1996,Federal Shipping,20.00,6,64.86
9-Oct-1996,10325,PRD013,CST039,SLS001,14-Oct-1996,Federal Shipping,4.80,12,64.86
9-Oct-1996,10325,PRD014,CST039,SLS001,14-Oct-1996,Federal Shipping,18.60,9,64.86
9-Oct-1996,10325,PRD031,CST039,SLS001,14-Oct-1996,Federal Shipping,10.00,4,64.86
9-Oct-1996,10325,PRD072,CST039,SLS001,14-Oct-1996,Federal Shipping,27.80,40,64.86
10-Oct-1996,10326,PRD004,CST008,SLS004,14-Oct-1996,United Package,17.60,24,77.92
10-Oct-1996,10326,PRD057,CST008,SLS004,14-Oct-1996,United Package,15.60,16,77.92
10-Oct-1996,10326,PRD075,CST008,SLS004,14-Oct-1996,United Package,6.20,50,77.92
11-Oct-1996,10327,PRD002,CST024,SLS002,14-Oct-1996,Speedy Express,15.20,25,63.36
11-Oct-1996,10327,PRD011,CST024,SLS002,14-Oct-1996,Speedy Express,16.80,50,63.36
11-Oct-1996,10327,PRD030,CST024,SLS002,14-Oct-1996,Speedy Express,20.70,35,63.36
11-Oct-1996,10327,PRD058,CST024,SLS002,14-Oct-1996,Speedy Express,10.60,30,63.36
14-Oct-1996,10328,PRD059,CST028,SLS004,17-Oct-1996,Federal Shipping,44.00,9,87.03
14-Oct-1996,10328,PRD065,CST028,SLS004,17-Oct-1996,Federal Shipping,16.80,40,87.03
14-Oct-1996,10328,PRD068,CST028,SLS004,17-Oct-1996,Federal Shipping,10.00,10,87.03
15-Oct-1996,10329,PRD019,CST075,SLS004,23-Oct-1996,United Package,7.30,10,191.67
15-Oct-1996,10329,PRD030,CST075,SLS004,23-Oct-1996,United Package,20.70,8,191.67
15-Oct-1996,10329,PRD038,CST075,SLS004,23-Oct-1996,United Package,210.80,20,191.67
15-Oct-1996,10329,PRD056,CST075,SLS004,23-Oct-1996,United Package,30.40,12,191.67
16-Oct-1996,10330,PRD026,CST046,SLS003,28-Oct-1996,Speedy Express,24.90,50,12.75
16-Oct-1996,10330,PRD072,CST046,SLS003,28-Oct-1996,Speedy Express,27.80,25,12.75
16-Oct-1996,10331,PRD054,CST009,SLS009,21-Oct-1996,Speedy Express,5.90,15,10.19
17-Oct-1996,10332,PRD018,CST051,SLS003,21-Oct-1996,United Package,50.00,40,52.84
17-Oct-1996,10332,PRD042,CST051,SLS003,21-Oct-1996,United Package,11.20,10,52.84
17-Oct-1996,10332,PRD047,CST051,SLS003,21-Oct-1996,United Package,7.60,16,52.84
18-Oct-1996,10333,PRD014,CST087,SLS005,25-Oct-1996,Federal Shipping,18.60,10,0.59
18-Oct-1996,10333,PRD021,CST087,SLS005,25-Oct-1996,Federal Shipping,8.00,10,0.59
18-Oct-1996,10333,PRD071,CST087,SLS005,25-Oct-1996,Federal Shipping,17.20,40,0.59
21-Oct-1996,10334,PRD052,CST084,SLS008,28-Oct-1996,United Package,5.60,8,8.56
21-Oct-1996,10334,PRD068,CST084,SLS008,28-Oct-1996,United Package,10.00,10,8.56
22-Oct-1996,10335,PRD002,CST037,SLS007,24-Oct-1996,United Package,15.20,7,42.11
22-Oct-1996,10335,PRD031,CST037,SLS007,24-Oct-1996,United Package,10.00,25,42.11
22-Oct-1996,10335,PRD032,CST037,SLS007,24-Oct-1996,United Package,25.60,6,42.11
22-Oct-1996,10335,PRD051,CST037,SLS007,24-Oct-1996,United Package,42.40,48,42.11
23-Oct-1996,10336,PRD004,CST060,SLS007,25-Oct-1996,United Package,17.60,18,15.51
24-Oct-1996,10337,PRD023,CST025,SLS004,29-Oct-1996,Federal Shipping,7.20,40,108.26
24-Oct-1996,10337,PRD026,CST025,SLS004,29-Oct-1996,Federal Shipping,24.90,24,108.26
24-Oct-1996,10337,PRD036,CST025,SLS004,29-Oct-1996,Federal Shipping,15.20,20,108.26
24-Oct-1996,10337,PRD037,CST025,SLS004,29-Oct-1996,Federal Shipping,20.80,28,108.26
24-Oct-1996,10337,PRD072,CST025,SLS004,29-Oct-1996,Federal Shipping,27.80,25,108.26
25-Oct-1996,10338,PRD017,CST055,SLS004,29-Oct-1996,Federal Shipping,31.20,20,84.21
25-Oct-1996,10338,PRD030,CST055,SLS004,29-Oct-1996,Federal Shipping,20.70,15,84.21
28-Oct-1996,10339,PRD004,CST051,SLS002,4-Nov-1996,United Package,17.60,10,15.66
28-Oct-1996,10339,PRD062,CST051,SLS002,4-Nov-1996,United Package,39.40,28,15.66
28-Oct-1996,10339,PRD017,CST051,SLS002,4-Nov-1996,United Package,31.20,70,15.66
29-Oct-1996,10340,PRD018,CST009,SLS001,8-Nov-1996,Federal Shipping,50.00,20,166.31
29-Oct-1996,10340,PRD041,CST009,SLS001,8-Nov-1996,Federal Shipping,7.70,12,166.31
29-Oct-1996,10340,PRD043,CST009,SLS001,8-Nov-1996,Federal Shipping,36.80,40,166.31
29-Oct-1996,10341,PRD033,CST073,SLS007,5-Nov-1996,Federal Shipping,2.00,8,26.78
29-Oct-1996,10341,PRD059,CST073,SLS007,5-Nov-1996,Federal Shipping,44.00,9,26.78
30-Oct-1996,10342,PRD002,CST025,SLS004,4-Nov-1996,United Package,15.20,24,54.83
30-Oct-1996,10342,PRD031,CST025,SLS004,4-Nov-1996,United Package,10.00,56,54.83
30-Oct-1996,10342,PRD036,CST025,SLS004,4-Nov-1996,United Package,15.20,40,54.83
30-Oct-1996,10342,PRD055,CST025,SLS004,4-Nov-1996,United Package,19.20,40,54.83
31-Oct-1996,10343,PRD064,CST044,SLS004,6-Nov-1996,Speedy Express,26.60,50,110.37
31-Oct-1996,10343,PRD076,CST044,SLS004,6-Nov-1996,Speedy Express,14.40,15,110.37
31-Oct-1996,10343,PRD068,CST044,SLS004,6-Nov-1996,Speedy Express,10.00,4,110.37
1-Nov-1996,10344,PRD004,CST089,SLS004,5-Nov-1996,United Package,17.60,35,23.29
1-Nov-1996,10344,PRD008,CST089,SLS004,5-Nov-1996,United Package,32.00,70,23.29
4-Nov-1996,10345,PRD008,CST063,SLS002,11-Nov-1996,United Package,32.00,70,249.06
4-Nov-1996,10345,PRD019,CST063,SLS002,11-Nov-1996,United Package,7.30,80,249.06
4-Nov-1996,10345,PRD042,CST063,SLS002,11-Nov-1996,United Package,11.20,9,249.06
5-Nov-1996,10346,PRD056,CST065,SLS003,8-Nov-1996,Federal Shipping,30.40,20,142.08
5-Nov-1996,10346,PRD017,CST065,SLS003,8-Nov-1996,Federal Shipping,31.20,36,142.08
6-Nov-1996,10347,PRD025,CST021,SLS004,8-Nov-1996,Federal Shipping,11.20,10,3.10
6-Nov-1996,10347,PRD040,CST021,SLS004,8-Nov-1996,Federal Shipping,14.70,4,3.10
6-Nov-1996,10347,PRD039,CST021,SLS004,8-Nov-1996,Federal Shipping,14.40,50,3.10
6-Nov-1996,10347,PRD075,CST021,SLS004,8-Nov-1996,Federal Shipping,6.20,6,3.10
7-Nov-1996,10348,PRD023,CST086,SLS004,15-Nov-1996,United Package,7.20,25,0.78
7-Nov-1996,10348,PRD001,CST086,SLS004,15-Nov-1996,United Package,14.40,15,0.78
